iteration,node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
57,45,3,utility_3,multiply,kendall,-0.08421052631578947,-0.08421024466370529
19,45,2,utility_1,add,spearman,0.045112781954887216,0.045112769506528975
18,45,3,utility_3,multiply,spearman,0.35037593984962395,0.3500382615369783
55,45,2,utility_2,multiply,kendall,0.32190085665449597,0.3216783726072038
42,45,2,utility_2,add,kendall,0.08421052631578947,0.08421024466370529
4,45,4,utility_3,multiply,kendall,0.4105263157894737,0.4097923815022709
5,45,3,utility_3,multiply,spearman,-0.1533834586466165,-0.15337784320837183
35,45,4,utility_3,add,spearman,-0.030075187969924807,-0.030075186330016622
51,45,4,utility_2,add,spearman,0.1533834586466165,0.15337784320837183
41,45,2,utility_3,multiply,spearman,0.34285714285714286,0.3425536301934328
34,45,3,utility_2,add,kendall,-0.1213724541484165,-0.12137070682964225
55,45,3,utility_3,add,kendall,-0.15789473684210525,-0.15788824863728226
57,45,4,utility_1,multiply,spearman,0.3804511278195489,0.37994526713408633
9,45,3,utility_1,add,kendall,-0.17894736842105263,-0.17893526584868608
22,45,3,utility_3,multiply,spearman,0.22255639097744356,0.22252059067162733
24,45,4,utility_1,add,spearman,-0.04661654135338346,-0.04661652668797066
36,45,3,utility_2,multiply,spearman,0.3037593984962406,0.30359228008325867
26,45,4,utility_2,add,spearman,-0.5112781954887218,-0.5091496502914092
12,45,4,utility_1,multiply,kendall,0.2631578947368421,0.26307569599977987
15,45,4,utility_2,add,spearman,0.24812030075187969,0.24805889227844075
2,45,2,utility_3,multiply,spearman,-0.38345864661654133,-0.3829328910837237
47,45,2,utility_1,multiply,kendall,0.2631578947368421,0.26307569599977987
39,45,2,utility_3,add,kendall,0.07915594835766293,0.07915574162046678
7,45,2,utility_2,multiply,kendall,0.1368421052631579,0.13683892627378003
1,45,2,utility_3,add,kendall,0.38947368421052636,0.38890629334855137
20,45,4,utility_2,multiply,spearman,-0.49022556390977434,-0.48848771900305094
36,45,2,utility_3,add,kendall,-0.16358895993917008,-0.16358121907912862
31,45,2,utility_2,multiply,spearman,-0.10977443609022557,-0.10977337764791938
25,45,4,utility_3,add,kendall,0.11578947368421053,0.11578809231631905
9,45,3,utility_3,add,spearman,0.14736842105263157,0.14736382085161523
8,45,2,utility_1,multiply,spearman,0.2646616541353383,0.26457710268233425
50,45,3,utility_1,multiply,kendall,0.3409115875214933,0.3406164541647081
40,45,2,utility_1,multiply,kendall,0.31134673020680753,0.31115797282461216
41,45,4,utility_3,add,spearman,0.3203007518796992,0.320083666303474
41,45,2,utility_3,add,spearman,-0.4661654135338345,-0.46480319066955444
42,45,2,utility_3,multiply,spearman,-0.021052631578947364,-0.0210526313032856
17,45,2,utility_2,add,spearman,-0.04661654135338346,-0.04661652668797066
55,45,2,utility_1,add,kendall,0.15789473684210525,0.15788824863728226
14,45,4,utility_1,multiply,kendall,0.33245498310218435,0.3321941735810184
59,45,2,utility_2,multiply,kendall,0.12631578947368421,0.12631365701011676
2,45,3,utility_1,multiply,spearman,0.004511278195488721,0.004511278195364153
34,45,3,utility_2,add,spearman,-0.13383458646616542,-0.13383174101827502
1,45,4,utility_3,multiply,kendall,-0.12631578947368421,-0.12631365701011676
57,45,4,utility_1,multiply,kendall,0.25397180893013105,0.2539028784314223
27,45,2,utility_2,add,kendall,0.1473684210526316,0.14736382085161526
60,45,2,utility_3,multiply,kendall,0.031916699728542886,0.031916697521294855
2,45,2,utility_3,add,kendall,0.021052631578947368,0.021052631303285604
9,45,2,utility_2,add,spearman,0.20150375939849624,0.2014819114128488
25,45,4,utility_1,add,kendall,-0.04749356901459777,-0.04749355291718326
42,45,4,utility_3,multiply,kendall,0.1368421052631579,0.13683892627378003
25,45,3,utility_3,multiply,kendall,0.07915594835766293,0.07915574162046678
18,45,2,utility_3,add,kendall,-0.05804769546228616,-0.05804765157430373
42,45,3,utility_2,multiply,kendall,0.04749356901459776,0.04749355291718325
34,45,2,utility_3,multiply,kendall,0.0736842105263158,0.07368406598423834
22,45,2,utility_2,add,kendall,0.11578947368421053,0.11578809231631905
8,45,4,utility_3,multiply,kendall,0.12631578947368421,0.12631365701011676
26,45,4,utility_2,add,kendall,-0.35789473684210527,-0.3575199265861138
12,45,4,utility_1,multiply,spearman,0.4060150375939849,0.4053196627416852
5,45,4,utility_1,multiply,spearman,0.10827067669172932,0.10826968867793796
24,45,3,utility_1,add,kendall,-0.16842105263157894,-0.16841210378594335
30,45,2,utility_3,multiply,spearman,0.11428571428571428,0.11428442016742348
20,45,3,utility_3,add,kendall,0.11081832770072811,0.11081721805174248
22,45,4,utility_2,add,kendall,0.1473684210526316,0.14736382085161526
12,45,3,utility_1,multiply,kendall,-0.031578947368421054,-0.03157894527550118
53,45,2,utility_1,multiply,spearman,-0.14887218045112782,-0.14886734143023894
33,45,4,utility_3,add,spearman,-0.20751879699248119,-0.20749350853408807
40,45,2,utility_1,multiply,spearman,0.34736842105263155,0.3470447549552731
44,45,3,utility_2,add,kendall,-0.19525133928223526,-0.1952326613424539
38,45,4,utility_2,add,kendall,-0.1213724541484165,-0.12137070682964225
56,45,2,utility_3,multiply,kendall,-0.015831189671532585,-0.015831189605243778
21,45,3,utility_1,multiply,spearman,0.11127819548872178,0.11127706266276433
18,45,2,utility_2,add,spearman,0.3654135338345864,0.3649984429002506
29,45,2,utility_1,add,spearman,0.5488721804511278,0.5458798641643898
26,45,4,utility_2,multiply,spearman,-0.5203007518796992,-0.5179852923303644
32,45,3,utility_3,multiply,kendall,0.23157894736842105,0.23153533800008738
11,45,3,utility_3,multiply,kendall,-0.21635959217761205,-0.2163284774236518
30,45,2,utility_1,add,spearman,-0.24360902255639094,-0.2435529551680633
30,45,3,utility_2,add,spearman,-0.29624060150375936,-0.2960929397660021
1,45,4,utility_3,add,kendall,0.19999999999999998,0.19997895087522655
55,45,2,utility_1,multiply,kendall,-0.031578947368421054,-0.03157894527550118
29,45,3,utility_1,multiply,spearman,0.03458646616541353,0.03458646286729324
21,45,2,utility_2,multiply,spearman,-0.29172932330827067,-0.29159244370947285
12,45,2,utility_2,multiply,kendall,0.15789473684210525,0.15788824863728226
18,45,3,utility_2,multiply,kendall,0.0736842105263158,0.07368406598423834
43,45,3,utility_3,add,spearman,-0.4300751879699248,-0.4291543405621086
28,45,4,utility_3,multiply,kendall,-0.042105263157894736,-0.04210525434062847
45,45,3,utility_3,add,spearman,0.051127819548872175,0.05112779627779279
38,45,4,utility_1,add,kendall,0.06860182190997455,0.06860172077410476
40,45,4,utility_3,add,spearman,0.1894736842105263,0.18945759893076913
48,45,4,utility_3,multiply,kendall,-0.0736842105263158,-0.07368406598423834
34,45,3,utility_2,multiply,kendall,-0.1473684210526316,-0.14736382085161526
44,45,3,utility_1,add,spearman,-0.11127819548872178,-0.11127706266276433
3,45,3,utility_1,multiply,kendall,0.08421052631578947,0.08421024466370529
6,45,4,utility_3,add,kendall,-0.021052631578947368,-0.021052631303285604
38,45,3,utility_2,multiply,kendall,-0.5263157894736842,-0.5238688265316279
42,45,3,utility_1,add,kendall,-0.08421052631578947,-0.08421024466370529
4,45,3,utility_2,multiply,kendall,-0.1473684210526316,-0.14736382085161526
41,45,2,utility_2,add,kendall,0.10526315789473685,0.10526229950600086
19,45,4,utility_1,add,kendall,-0.05804769546228615,-0.05804765157430372
22,45,4,utility_1,multiply,kendall,-0.1368421052631579,-0.13683892627378003
53,45,4,utility_2,multiply,kendall,-0.1473684210526316,-0.14736382085161526
11,45,3,utility_2,add,kendall,-0.17894736842105263,-0.17893526584868608
19,45,3,utility_3,multiply,spearman,0.31879699248120297,0.3185848853448273
44,45,3,utility_2,add,spearman,-0.26165413533834586,-0.261574237024055
23,45,2,utility_1,multiply,kendall,-0.04749356901459777,-0.04749355291718326
13,45,2,utility_2,multiply,kendall,0.33245498310218435,0.3321941735810184
46,45,2,utility_2,multiply,spearman,0.17744360902255638,0.17743200439457146
52,45,3,utility_2,add,spearman,0.35939849624060144,0.3590158876997154
60,45,2,utility_1,multiply,spearman,0.5969924812030075,0.592526325180932
18,45,2,utility_2,add,kendall,0.2796843508637424,0.2795732293215788
6,45,3,utility_2,multiply,kendall,-0.021164317410844256,-0.02116431712779291
8,45,2,utility_2,multiply,kendall,0.16842105263157894,0.16841210378594335
28,45,2,utility_1,multiply,kendall,0.5684210526315789,0.5648841867609767
20,45,2,utility_3,multiply,kendall,0.0,0.0
13,45,2,utility_2,add,kendall,0.05804769546228616,0.05804765157430373
1,45,2,utility_1,add,spearman,-0.030075187969924807,-0.030075186330016622
22,45,3,utility_1,multiply,spearman,0.23308270676691725,0.23303767365457995
