iteration,node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
44,40,4,utility_2,multiply,kendall,0.06315789473684211,0.06315782783021072
24,40,2,utility_1,multiply,kendall,0.026385316119220983,0.026385315266868055
59,40,2,utility_3,multiply,kendall,0.16358895993917008,0.16358121907912862
14,40,2,utility_3,add,kendall,-0.1368421052631579,-0.13683892627378003
55,40,2,utility_1,multiply,kendall,0.25263157894736843,0.2525644326415041
25,40,4,utility_2,multiply,kendall,-0.1368421052631579,-0.13683892627378003
60,40,4,utility_1,add,kendall,0.037136454324522616,0.03713644961787988
10,40,4,utility_2,multiply,spearman,0.12781954887218044,0.1278172867074352
28,40,3,utility_1,add,kendall,-0.010526315789473684,-0.0105263157808583
29,40,4,utility_2,multiply,kendall,0.19999999999999998,0.19997895087522655
42,40,3,utility_2,multiply,kendall,-0.010526315789473684,-0.0105263157808583
55,40,2,utility_2,add,spearman,0.312781954887218,0.3125888658164195
11,40,4,utility_3,add,spearman,0.2646616541353383,0.26457710268233425
15,40,2,utility_2,add,spearman,0.19999999999999998,0.19997895087522655
19,40,3,utility_2,add,spearman,0.23308270676691725,0.23303767365457995
41,40,4,utility_3,multiply,spearman,0.16240601503759397,0.16239854907047982
43,40,3,utility_3,multiply,spearman,0.15789473684210525,0.15788824863728226
60,40,2,utility_2,multiply,kendall,0.23157894736842105,0.23153533800008738
38,40,4,utility_3,multiply,spearman,0.312781954887218,0.3125888658164195
49,40,4,utility_1,add,kendall,0.12201977849486002,0.12201798417555954
22,40,4,utility_2,multiply,spearman,-0.26315789473684204,-0.26307569599977987
38,40,4,utility_1,multiply,kendall,0.06315789473684211,0.06315782783021072
58,40,3,utility_2,add,kendall,0.18469721283454688,0.18468304683578168
56,40,2,utility_3,add,kendall,-0.19999999999999998,-0.19997895087522655
54,40,3,utility_3,add,kendall,0.10526315789473685,0.10526229950600086
30,40,4,utility_3,multiply,kendall,0.0736842105263158,0.07368406598423834
45,40,2,utility_1,multiply,kendall,0.30526315789473685,0.3050919153539973
5,40,2,utility_1,multiply,spearman,0.10977443609022557,0.10977337764791938
34,40,4,utility_1,multiply,kendall,-0.09523942834879916,-0.09523890754066522
1,40,3,utility_3,add,spearman,0.0,0.0
33,40,2,utility_2,add,kendall,0.15873238058133193,0.15872571903193824
8,40,2,utility_1,multiply,spearman,-0.10526315789473684,-0.10526229950600086
53,40,2,utility_2,multiply,spearman,0.3714285714285714,0.37097886212590114
16,40,2,utility_3,add,spearman,-0.16992481203007515,-0.1699154580843313
17,40,2,utility_2,multiply,kendall,-0.031578947368421054,-0.03157894527550118
31,40,3,utility_1,add,spearman,-0.09774436090225563,-0.09774376800117857
3,40,3,utility_2,multiply,spearman,0.004511278195488721,0.004511278195364153
27,40,4,utility_3,add,spearman,-0.05714285714285714,-0.05714281656906838
39,40,3,utility_3,multiply,kendall,0.0,0.0
40,40,2,utility_1,multiply,spearman,0.09323308270676692,0.09323261443393008
29,40,3,utility_3,add,spearman,0.08270676691729321,0.0827065095089057
36,40,4,utility_3,multiply,spearman,0.17593984962406017,0.17592872646552205
11,40,3,utility_3,multiply,spearman,0.23458646616541348,0.234539972577723
40,40,3,utility_3,add,kendall,0.052631578947368425,0.05263155204815639
3,40,2,utility_1,add,spearman,0.1894736842105263,0.18945759893076913
34,40,3,utility_1,add,kendall,0.2796843508637424,0.2795732293215788
2,40,2,utility_2,multiply,kendall,0.021052631578947368,0.021052631303285604
30,40,4,utility_1,add,spearman,0.009022556390977442,0.00902255638699137
41,40,4,utility_3,add,spearman,0.2827067669172932,0.28258957789767297
35,40,3,utility_1,add,spearman,0.06466165413533834,0.06466157888003143
51,40,3,utility_3,add,kendall,0.2736842105263158,0.2735843952206583
55,40,2,utility_1,multiply,spearman,0.3413533834586466,0.34105636356976704
11,40,2,utility_3,multiply,spearman,-0.1969924812030075,-0.19697295997470446
5,40,2,utility_1,add,kendall,-0.010638899909514294,-0.010638899900428229
14,40,3,utility_1,add,spearman,-0.31729323308270674,-0.3170860136067792
24,40,2,utility_2,multiply,kendall,0.28117601131424264,0.2810619272536827
3,40,3,utility_2,add,kendall,-0.4168879946836915,-0.41609685427638615
46,40,4,utility_3,add,kendall,0.5684210526315789,0.5648841867609767
30,40,4,utility_2,multiply,kendall,0.11578947368421053,0.11578809231631905
43,40,3,utility_3,multiply,kendall,0.15303483349148167,0.15302928138135843
53,40,2,utility_3,add,kendall,-0.010526315789473684,-0.0105263157808583
49,40,4,utility_2,add,spearman,0.21954887218045113,0.219515411279098
31,40,4,utility_1,add,spearman,-0.16240601503759397,-0.16239854907047982
42,40,3,utility_3,add,spearman,-0.29624060150375936,-0.2960929397660021
8,40,4,utility_2,multiply,kendall,-0.0736842105263158,-0.07368406598423834
20,40,2,utility_1,multiply,kendall,0.12201977849486002,0.12201798417555954
19,40,3,utility_2,multiply,kendall,0.3263157894736842,0.3260778576934972
12,40,2,utility_2,add,spearman,-0.19999999999999998,-0.19997895087522655
20,40,2,utility_3,multiply,kendall,0.0736842105263158,0.07368406598423834
4,40,2,utility_2,add,kendall,0.010526315789473684,0.0105263157808583
45,40,2,utility_1,multiply,spearman,0.4285714285714286,0.42766615993452944
7,40,3,utility_2,multiply,spearman,-0.1413533834586466,-0.14134964632474362
45,40,3,utility_1,multiply,spearman,0.35187969924812035,0.35153483759537624
36,40,3,utility_2,add,spearman,-0.06766917293233082,-0.0676690784828159
55,40,3,utility_1,multiply,spearman,0.1263157894736842,0.12631365701011668
47,40,3,utility_3,multiply,kendall,0.37894736842105264,0.3784512302651423
4,40,4,utility_2,multiply,spearman,0.4616541353383458,0.46035465513284984
30,40,2,utility_3,add,spearman,0.41052631578947363,0.4097923815022708
31,40,3,utility_1,add,kendall,-0.07446913860436506,-0.07446898620368392
23,40,4,utility_1,add,spearman,0.38796992481203,0.3874131776760294
48,40,3,utility_2,add,kendall,-0.06315789473684211,-0.06315782783021072
20,40,3,utility_1,add,spearman,-0.18045112781954886,-0.1804385104119264
43,40,2,utility_2,add,spearman,0.26165413533834586,0.261574237024055
6,40,3,utility_2,multiply,spearman,0.12030075187969923,0.12029908020857116
1,40,2,utility_2,multiply,kendall,0.04749356901459776,0.04749355291718325
40,40,4,utility_3,multiply,kendall,-0.19525133928223526,-0.1952326613424539
34,40,3,utility_3,add,kendall,-0.031578947368421054,-0.03157894527550118
36,40,4,utility_3,multiply,kendall,0.10026420125303973,0.10026352799626462
60,40,4,utility_3,multiply,kendall,-0.15789473684210525,-0.15788824863728226
25,40,3,utility_3,add,kendall,-0.06315789473684211,-0.06315782783021072
31,40,2,utility_3,add,spearman,-0.12030075187969923,-0.12029908020857116
2,40,3,utility_2,add,kendall,-0.2796843508637424,-0.2795732293215788
2,40,3,utility_1,add,kendall,0.18469721283454688,0.18468304683578168
19,40,2,utility_3,multiply,kendall,0.22105263157894736,0.22101801670355006
1,40,3,utility_3,multiply,spearman,-0.4030075187969925,-0.40233695316276386
32,40,2,utility_1,add,kendall,-0.1866726402867353,-0.18665770403687784
8,40,2,utility_2,add,spearman,0.11428571428571428,0.11428442016742348
6,40,3,utility_3,add,spearman,-0.35488721804511275,-0.35452762805313687
44,40,4,utility_1,multiply,spearman,0.3744360902255639,0.3739682396885572
59,40,2,utility_1,multiply,spearman,-0.19097744360902258,-0.19096071303651135
7,40,3,utility_2,add,kendall,0.14248070704379331,0.14247681890885708
60,40,3,utility_3,multiply,spearman,0.13984962406015036,0.1398460810229868
30,40,4,utility_2,multiply,spearman,0.16240601503759397,0.16239854907047982
26,40,2,utility_3,add,kendall,-0.06860182190997455,-0.06860172077410476
38,40,2,utility_1,add,spearman,0.3684210526315789,0.3679889256801694
30,40,4,utility_3,add,kendall,0.11578947368421053,0.11578809231631905
37,40,3,utility_3,add,spearman,0.4300751879699248,0.4291543405621086
23,40,4,utility_2,add,kendall,0.06315789473684211,0.06315782783021072
8,40,4,utility_2,multiply,spearman,-0.10375939849624059,-0.10375859961004923
37,40,4,utility_1,multiply,spearman,0.30977443609022554,0.30959033540188113
58,40,4,utility_1,add,kendall,0.11578947368421053,0.11578809231631905
32,40,4,utility_2,multiply,spearman,-0.013533834586466165,-0.01353383455619797
