iteration,node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
17,15,3,utility_1,multiply,kendall,0.2105263157894737,0.21049915247334955
20,15,3,utility_1,add,kendall,-0.3157894736842105,-0.3155870523043374
20,15,3,utility_2,add,spearman,-0.0015037593984962405,-0.0015037593984957279
36,15,3,utility_1,add,kendall,0.19525133928223526,0.1952326613424539
25,15,4,utility_2,add,kendall,0.021052631578947368,0.021052631303285604
21,15,3,utility_2,add,kendall,-0.1473684210526316,-0.14736382085161526
37,15,4,utility_1,multiply,kendall,-0.11578947368421053,-0.11578809231631905
27,15,4,utility_1,add,spearman,0.23458646616541348,0.234539972577723
21,15,4,utility_2,multiply,kendall,-0.17894736842105263,-0.17893526584868608
35,15,2,utility_1,add,spearman,0.33082706766917286,0.33057248702539366
35,15,4,utility_1,multiply,kendall,0.22105263157894736,0.22101801670355006
8,15,3,utility_1,multiply,kendall,0.005277063223844196,0.005277063223571383
55,15,4,utility_2,multiply,kendall,-0.17894736842105263,-0.17893526584868608
49,15,3,utility_2,add,spearman,-0.3157894736842105,-0.3155870523043374
20,15,4,utility_1,add,kendall,-0.3263157894736842,-0.3260778576934972
27,15,2,utility_3,multiply,spearman,0.006015037593984962,0.00601503759346004
55,15,4,utility_2,add,kendall,-0.19525133928223526,-0.1952326613424539
14,15,3,utility_3,multiply,spearman,-0.1639097744360902,-0.16390195765063495
40,15,3,utility_3,multiply,kendall,0.15303483349148167,0.15302928138135843
60,15,4,utility_2,add,spearman,-0.20902255639097742,-0.2089963438509244
23,15,2,utility_2,add,spearman,0.16992481203007515,0.1699154580843313
40,15,4,utility_2,add,kendall,-0.021052631578947368,-0.021052631303285604
35,15,4,utility_2,add,spearman,0.2120300751879699,0.21200193383345273
15,15,4,utility_3,add,spearman,-0.1609022556390977,-0.1608951278128157
41,15,4,utility_1,multiply,kendall,-0.19999999999999998,-0.19997895087522655
36,15,3,utility_2,add,kendall,0.30526315789473685,0.3050919153539973
37,15,3,utility_2,add,spearman,-0.2646616541353383,-0.26457710268233425
50,15,3,utility_2,multiply,kendall,0.042105263157894736,0.04210525434062847
21,15,3,utility_3,multiply,spearman,0.16691729323308271,0.16690873536868273
48,15,4,utility_2,add,spearman,0.15488721804511277,0.15488132280712763
20,15,2,utility_1,multiply,kendall,0.04749356901459776,0.04749355291718325
42,15,3,utility_1,add,kendall,0.10026420125303971,0.1002635279962646
49,15,4,utility_2,multiply,kendall,0.021052631578947368,0.021052631303285604
7,15,4,utility_1,multiply,kendall,0.3368421052631579,0.3365639078688606
56,15,4,utility_1,add,kendall,0.5578947368421052,0.5546597902059746
33,15,4,utility_3,multiply,kendall,-0.1473684210526316,-0.14736382085161526
2,15,3,utility_1,multiply,kendall,0.11578947368421053,0.11578809231631905
13,15,2,utility_1,add,spearman,0.2526315789473684,0.252564432641504
33,15,3,utility_3,add,kendall,0.021052631578947368,0.021052631303285604
12,15,2,utility_3,multiply,kendall,-0.22105263157894736,-0.22101801670355006
46,15,4,utility_3,add,kendall,0.15789473684210525,0.15788824863728226
51,15,3,utility_1,multiply,spearman,0.07518796992481201,0.07518781003107539
10,15,4,utility_1,multiply,kendall,0.23157894736842105,0.23153533800008738
25,15,2,utility_1,multiply,kendall,0.12631578947368421,0.12631365701011676
8,15,3,utility_1,add,spearman,-0.12481203007518797,-0.12481002130351124
39,15,2,utility_3,add,spearman,0.06616541353383458,0.06616532911687249
53,15,3,utility_2,multiply,spearman,0.27669172932330827,0.2765863671820262
40,15,4,utility_1,multiply,spearman,-0.33082706766917286,-0.33057248702539366
5,15,3,utility_1,add,kendall,0.20106101540302043,0.20103940508790466
29,15,2,utility_3,add,spearman,0.18796992481203004,0.18795446483022418
43,15,3,utility_1,add,spearman,0.18345864661654135,0.18344494716810414
8,15,4,utility_1,multiply,kendall,-0.04232863482168851,-0.042328625768103104
16,15,4,utility_1,add,kendall,-0.05835564295726278,-0.058355597893256256
37,15,3,utility_3,multiply,spearman,0.44360902255639095,0.44253830880545875
37,15,2,utility_1,multiply,spearman,-0.021052631578947364,-0.0210526313032856
5,15,3,utility_2,multiply,spearman,-0.009022556390977442,-0.00902255638699137
12,15,3,utility_3,add,kendall,-0.010526315789473684,-0.0105263157808583
24,15,4,utility_3,multiply,kendall,-0.031578947368421054,-0.03157894527550118
21,15,2,utility_2,add,spearman,-0.26917293233082706,-0.26908100021780657
18,15,3,utility_3,multiply,spearman,0.07218045112781954,0.07218032073553833
40,15,4,utility_2,add,spearman,-0.07518796992481201,-0.07518781003107539
24,15,4,utility_3,add,spearman,-0.048120300751879695,-0.04812028356428607
3,15,3,utility_1,multiply,kendall,-0.010526315789473684,-0.0105263157808583
40,15,2,utility_2,add,kendall,0.18947368421052632,0.1894575989307692
40,15,2,utility_1,add,kendall,0.15958349864271443,0.15957665719516145
47,15,2,utility_1,multiply,spearman,0.41804511278195483,0.41724320160504824
7,15,2,utility_3,multiply,spearman,0.6030075187969924,0.5983239415228929
4,15,3,utility_3,add,kendall,0.09473684210526316,0.0947363348784088
