iteration,node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
51,30,4,utility_3,multiply,spearman,0.0,0.0
31,30,3,utility_3,multiply,spearman,-0.03909774436090225,-0.03909773827330502
20,30,4,utility_2,multiply,kendall,-0.25263157894736843,-0.2525644326415041
45,30,4,utility_2,multiply,spearman,0.41804511278195483,0.41724320160504824
7,30,4,utility_1,add,spearman,0.0,0.0
53,30,2,utility_1,multiply,spearman,0.5413533834586466,0.5385523215967191
40,30,4,utility_2,multiply,spearman,0.019548872180451125,0.019548871990140975
34,30,3,utility_3,multiply,kendall,0.1473684210526316,0.14736382085161526
33,30,3,utility_1,add,kendall,-0.17894736842105263,-0.17893526584868608
1,30,3,utility_3,add,spearman,0.25112781954887214,0.2510626312399721
2,30,4,utility_2,add,spearman,0.2150375939849624,0.21500741245637967
59,30,3,utility_3,add,spearman,0.13684210526315788,0.13683892627378
17,30,3,utility_3,add,kendall,-0.12631578947368421,-0.12631365701011676
2,30,3,utility_2,multiply,spearman,-0.4631578947368421,-0.4618377564707061
38,30,2,utility_2,add,spearman,0.03308270676691729,0.03308270412599604
32,30,4,utility_1,add,spearman,0.26917293233082706,0.26908100021780657
25,30,3,utility_2,add,spearman,0.1263157894736842,0.12631365701011668
40,30,3,utility_2,add,spearman,-0.17744360902255638,-0.17743200439457146
31,30,4,utility_2,add,spearman,0.08270676691729321,0.0827065095089057
50,30,4,utility_1,add,kendall,0.021164021164021163,0.021164020880989627
6,30,4,utility_3,add,spearman,0.21353383458646616,0.21350468735559763
16,30,3,utility_3,add,spearman,0.2300751879699248,0.23003296630237585
8,30,4,utility_2,add,kendall,-0.09473684210526316,-0.0947363348784088
58,30,4,utility_3,add,kendall,0.010526315789473684,0.0105263157808583
26,30,4,utility_1,add,spearman,-0.10827067669172932,-0.10826968867793796
11,30,3,utility_3,add,spearman,0.004511278195488721,0.004511278195364153
32,30,2,utility_3,add,kendall,-0.19999999999999998,-0.19997895087522655
10,30,2,utility_3,add,spearman,0.4195488721804511,0.41873279210421127
40,30,3,utility_3,add,kendall,0.12631578947368421,0.12631365701011676
19,30,3,utility_3,multiply,spearman,-0.2646616541353383,-0.26457710268233425
44,30,3,utility_3,add,spearman,0.1609022556390977,0.1608951278128157
23,30,3,utility_1,add,spearman,-0.05864661654135337,-0.058646570343118334
5,30,3,utility_2,multiply,kendall,0.08421052631578947,0.08421024466370529
18,30,4,utility_3,add,kendall,0.010526315789473684,0.0105263157808583
42,30,2,utility_3,add,kendall,-0.031578947368421054,-0.03157894527550118
23,30,4,utility_1,multiply,kendall,0.4338624338624339,0.4329014194288683
3,30,3,utility_1,add,kendall,0.09473684210526316,0.0947363348784088
10,30,2,utility_2,multiply,spearman,-0.14586466165413534,-0.1458602907695136
30,30,2,utility_2,add,spearman,0.1639097744360902,0.16390195765063495
55,30,3,utility_1,add,kendall,-0.1368421052631579,-0.13683892627378003
26,30,3,utility_3,multiply,spearman,0.3233082706766917,0.32308095097251405
24,30,4,utility_3,add,kendall,-0.24210526315789474,-0.2420508915531183
48,30,2,utility_3,add,kendall,-0.10526315789473685,-0.10526229950600086
14,30,4,utility_2,add,kendall,0.1473684210526316,0.14736382085161526
38,30,2,utility_2,multiply,spearman,-0.17744360902255638,-0.17743200439457146
1,30,3,utility_3,add,kendall,0.15789473684210525,0.15788824863728226
55,30,3,utility_1,multiply,spearman,0.12030075187969923,0.12029908020857116
14,30,2,utility_1,add,kendall,0.1798966979921762,0.17988427239452529
45,30,4,utility_1,add,kendall,-0.021052631578947368,-0.021052631303285604
46,30,4,utility_1,multiply,spearman,0.35037593984962395,0.3500382615369783
33,30,2,utility_3,add,spearman,0.1518796992481203,0.15187435290810075
49,30,4,utility_2,add,spearman,-0.10977443609022557,-0.10977337764791938
21,30,4,utility_1,multiply,spearman,-0.15488721804511277,-0.15488132280712763
5,30,2,utility_1,multiply,spearman,-0.20300751879699244,-0.20298484798123392
34,30,4,utility_1,add,kendall,0.10526315789473685,0.10526229950600086
47,30,4,utility_2,multiply,spearman,-0.03909774436090225,-0.03909773827330502
24,30,2,utility_3,add,kendall,0.021052631578947368,0.021052631303285604
4,30,2,utility_2,multiply,spearman,0.5263157894736841,0.5238688265316278
59,30,3,utility_2,add,spearman,0.05263157894736842,0.05263155204815638
16,30,4,utility_1,multiply,kendall,-0.16358895993917008,-0.16358121907912862
42,30,2,utility_2,multiply,kendall,-0.021052631578947368,-0.021052631303285604
26,30,4,utility_1,add,kendall,-0.10026420125303971,-0.1002635279962646
52,30,2,utility_3,add,spearman,0.2721804511278195,0.27208332090212006
40,30,3,utility_3,add,spearman,0.2150375939849624,0.21500741245637967
25,30,4,utility_2,add,kendall,0.04749356901459776,0.04749355291718325
2,30,3,utility_1,add,spearman,0.431578947368421,0.4306423119387123
41,30,3,utility_1,add,spearman,0.16691729323308271,0.16690873536868273
45,30,4,utility_3,add,spearman,0.24812030075187969,0.24805889227844075
11,30,4,utility_1,add,kendall,0.042105263157894736,0.04210525434062847
27,30,2,utility_1,multiply,spearman,0.3984962406015037,0.3978615793707508
7,30,3,utility_3,add,kendall,0.0,0.0
34,30,4,utility_2,add,kendall,0.021052631578947368,0.021052631303285604
13,30,4,utility_2,multiply,spearman,0.05263157894736842,0.05263155204815638
11,30,4,utility_2,add,spearman,-0.27368421052631575,-0.27358439522065814
49,30,2,utility_2,add,spearman,0.5413533834586466,0.5385523215967191
23,30,4,utility_3,add,spearman,0.23458646616541348,0.234539972577723
