iteration,node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
59,5,2,utility_3,add,spearman,0.5503759398496241,0.5473441931788654
27,5,4,utility_1,multiply,spearman,0.0706766917293233,0.07067657435688342
44,5,4,utility_3,multiply,spearman,0.2706766917293233,0.2705821889290165
47,5,2,utility_1,multiply,spearman,0.7383458646616541,0.7262770202746864
24,5,2,utility_1,multiply,spearman,0.6015037593984961,0.5968752801413351
54,5,3,utility_3,multiply,spearman,0.08270676691729321,0.0827065095089057
26,5,2,utility_2,add,spearman,0.08270676691729321,0.0827065095089057
3,5,2,utility_3,add,spearman,0.24060150375939846,0.24054878690170026
8,5,3,utility_3,multiply,spearman,0.5037593984962406,0.5017774857216212
3,5,2,utility_2,multiply,spearman,0.40451127819548865,0.4038283964463022
59,5,4,utility_3,multiply,spearman,0.26766917293233083,0.26757975567575065
10,5,2,utility_1,multiply,kendall,0.6097041335227954,0.6047690764862611
16,5,2,utility_1,add,spearman,0.38646616541353385,0.38591990428357076
8,5,2,utility_1,multiply,kendall,0.44925567733258603,0.44811707225897823
33,5,4,utility_1,multiply,kendall,0.3698380534213779,0.36939771132381743
51,5,2,utility_1,multiply,spearman,0.625563909774436,0.6199921571502158
11,5,3,utility_1,multiply,spearman,-0.06165413533834586,-0.06165407602270888
22,5,3,utility_1,add,kendall,0.41039134083406165,0.4096585840482389
54,5,2,utility_2,multiply,spearman,0.6496240601503759,0.642969293465733
41,5,2,utility_1,multiply,kendall,0.41911141309104094,0.41829947498314657
42,5,2,utility_3,multiply,kendall,0.2069031026651974,0.20687818498752214
12,5,4,utility_1,multiply,kendall,0.16770014504959274,0.16769138538070005
41,5,4,utility_1,multiply,spearman,0.46917293233082696,0.46776758541671787
60,5,4,utility_3,add,kendall,0.06562179588897107,0.06562171488141944
56,5,3,utility_3,add,spearman,0.2556390977443609,0.2555678952892157
54,5,2,utility_1,add,spearman,0.6812030075187969,0.6728932266550872
39,5,3,utility_2,multiply,spearman,0.4300751879699248,0.4291543405621086
36,5,3,utility_1,add,kendall,0.4910685546426809,0.48931622754427034
36,5,3,utility_2,add,kendall,0.39622164429085255,0.39560450350131976
59,5,2,utility_1,add,spearman,0.5308270676691729,0.5282777404479743
1,5,3,utility_1,add,kendall,0.362455361760074,0.3620565063716053
10,5,4,utility_1,multiply,spearman,0.05714285714285714,0.05714281656906838
15,5,3,utility_1,add,spearman,0.29774436090225564,0.2975929593528953
45,5,4,utility_1,multiply,kendall,0.346843987809648,0.34652271733891155
17,5,2,utility_3,add,spearman,-0.08872180451127819,-0.08872143898407647
7,5,2,utility_3,add,spearman,0.03909774436090225,0.03909773827330502
23,5,4,utility_2,multiply,spearman,0.03308270676691729,0.03308270412599604
42,5,3,utility_3,add,spearman,-0.02706766917293233,-0.027067668204527457
10,5,3,utility_2,add,kendall,0.27359422722270776,0.2734945742278394
2,5,3,utility_3,multiply,kendall,0.37414747020394734,0.3736813852037227
31,5,2,utility_3,multiply,kendall,0.10026420125303973,0.10026352799626462
18,5,2,utility_2,multiply,spearman,0.25112781954887214,0.2510626312399721
47,5,4,utility_3,add,kendall,0.520265981714472,0.5179512660557939
39,5,4,utility_2,add,spearman,-0.04962406015037594,-0.04962404010502834
52,5,4,utility_1,multiply,spearman,0.16992481203007515,0.1699154580843313
6,5,4,utility_2,add,spearman,0.13533834586466165,0.13533533733540531
49,5,2,utility_1,add,spearman,0.13984962406015036,0.1398460810229868
40,5,3,utility_1,multiply,spearman,0.3759398496240601,0.37546271492155336
51,5,2,utility_3,add,spearman,0.13984962406015036,0.1398460810229868
36,5,4,utility_1,multiply,kendall,0.30688689539220715,0.3067111095889171
30,5,4,utility_3,multiply,kendall,0.3698380534213779,0.36939771132381743
31,5,4,utility_1,multiply,kendall,0.1531175237409325,0.15311195666186544
14,5,3,utility_2,multiply,kendall,0.387591821898836,0.3870377261241267
18,5,3,utility_3,multiply,spearman,0.1533834586466165,0.15337784320837183
54,5,2,utility_1,multiply,kendall,0.5464363993465471,0.5435071114633271
27,5,4,utility_3,multiply,kendall,0.1387375951238592,0.13873419037480522
34,5,4,utility_3,multiply,spearman,0.20300751879699244,0.20298484798123392
5,5,3,utility_2,add,spearman,0.6090225563909774,0.6041135558370726
49,5,4,utility_2,add,spearman,0.156390977443609,0.15638479139016084
20,5,4,utility_1,add,kendall,0.32262468489949986,0.3223997241641596
29,5,4,utility_3,add,spearman,0.13082706766917293,0.13082452720722293
11,5,3,utility_1,add,kendall,0.21154949141067764,0.2115216656247206
5,5,2,utility_3,add,kendall,-0.005305207760646088,-0.0053052077603659206
26,5,4,utility_1,add,kendall,-0.007291310654330118,-0.007291310652956301
44,5,3,utility_1,multiply,spearman,0.12481203007518797,0.12481002130351124
57,5,3,utility_2,multiply,spearman,0.29624060150375936,0.2960929397660021
14,5,4,utility_3,add,spearman,0.14736842105263157,0.14736382085161523
15,5,3,utility_2,add,kendall,0.4559922293110608,0.45476827672211384
40,5,4,utility_2,multiply,spearman,0.512781954887218,0.510623099862218
34,5,2,utility_2,multiply,kendall,0.5776144422847534,0.5737965639047181
36,5,4,utility_3,add,spearman,0.1263157894736842,0.12631365701011668
12,5,4,utility_2,multiply,spearman,0.11127819548872178,0.11127706266276433
19,5,3,utility_2,multiply,spearman,0.6330827067669172,0.6271881185292931
3,5,4,utility_1,add,kendall,0.1040531963428944,0.10405238609866235
