node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
5,2,utility_3,add,kendall,0.352766162475233,0.3447182600317252
5,2,utility_2,multiply,spearman,0.499408521303258,0.48573991043376485
5,2,utility_1,add,kendall,0.45539230400795344,0.4473788082163604
5,3,utility_3,multiply,kendall,0.262053726500584,0.25403399593950765
5,3,utility_2,multiply,kendall,0.24478189168723566,0.23683643343706012
5,4,utility_1,multiply,kendall,0.014977725682861773,0.01453931048990908
5,3,utility_1,add,kendall,0.23934628955350548,0.2339456166036813
5,3,utility_1,multiply,kendall,0.26791030369451246,0.2588062161119661
5,3,utility_3,add,kendall,0.2241640159332924,0.21880192062892953
5,4,utility_2,multiply,spearman,-0.016701754385964912,-0.01606638289209765
5,3,utility_2,add,kendall,0.2047228484127663,0.19944071684914294
5,4,utility_1,add,kendall,0.018799251882978173,0.018297386440378788
5,4,utility_2,add,kendall,0.010670830147228928,0.010414746592193241
5,4,utility_3,add,kendall,0.023584699864606654,0.02297046901078956
5,2,utility_3,add,spearman,0.3987769423558897,0.3872677210794797
5,2,utility_1,multiply,kendall,0.5682883060500905,0.5510740175983229
5,2,utility_2,multiply,kendall,0.5095459843724529,0.49333413006338256
5,2,utility_1,add,spearman,0.4748070175438595,0.4618743697807138
5,2,utility_3,multiply,kendall,0.5065518141936904,0.4884224153114495
5,2,utility_2,add,spearman,0.40242606516290724,0.391730657484438
5,3,utility_2,multiply,spearman,0.15657142857142856,0.14854403114081624
5,4,utility_1,multiply,spearman,-0.04531328320802004,-0.04430363585912384
5,3,utility_3,multiply,spearman,0.15518796992481199,0.14950966750463332
5,4,utility_3,multiply,kendall,0.02871938731488688,0.028009403447685165
5,4,utility_2,multiply,kendall,0.014784753308643376,0.014432827656482003
5,3,utility_2,add,spearman,0.11631077694235588,0.11253884286852427
5,4,utility_1,add,spearman,0.01668170426065162,0.015951618226281484
5,3,utility_1,add,spearman,0.12374937343358393,0.11701657726072877
5,3,utility_1,multiply,spearman,0.1905363408521303,0.18248714916070208
5,4,utility_3,multiply,spearman,-0.011629072681704253,-0.011320626184479573
5,4,utility_3,add,spearman,-0.01974937343358396,-0.017751904574100204
5,3,utility_3,add,spearman,0.1488922305764411,0.14269791528283932
5,2,utility_1,multiply,spearman,0.5271779448621552,0.5140435918990569
5,2,utility_3,multiply,spearman,0.4592681704260651,0.44715308889760835
5,4,utility_2,add,spearman,0.02109273182957393,0.021149372486206193
5,2,utility_2,add,kendall,0.36896355980662304,0.3640348731139421
