iteration,node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
16,50,4,utility_1,multiply,kendall,0.06860182190997455,0.06860172077410476
24,50,2,utility_3,multiply,kendall,0.17894736842105263,0.17893526584868608
2,50,2,utility_3,multiply,spearman,0.20601503759398496,0.20599064708306838
25,50,3,utility_3,multiply,kendall,-0.3368421052631579,-0.3365639078688606
33,50,3,utility_1,multiply,kendall,0.0736842105263158,0.07368406598423834
29,50,4,utility_3,multiply,kendall,-0.12631578947368421,-0.12631365701011676
21,50,2,utility_3,multiply,kendall,0.25263157894736843,0.2525644326415041
38,50,4,utility_1,multiply,spearman,-0.2270676691729323,-0.22702811748838178
24,50,3,utility_1,multiply,kendall,0.042105263157894736,0.04210525434062847
22,50,2,utility_2,add,kendall,0.031578947368421054,0.03157894527550118
27,50,3,utility_3,multiply,spearman,-0.10827067669172932,-0.10826968867793796
21,50,4,utility_1,multiply,spearman,0.019548872180451125,0.019548871990140975
57,50,4,utility_2,multiply,kendall,0.1368421052631579,0.13683892627378003
57,50,3,utility_2,multiply,spearman,-0.20150375939849624,-0.2014819114128488
55,50,4,utility_3,add,kendall,-0.10026420125303973,-0.10026352799626462
27,50,3,utility_2,add,spearman,-0.15789473684210525,-0.15788824863728226
58,50,4,utility_2,add,kendall,0.052631578947368425,0.05263155204815639
56,50,3,utility_1,add,kendall,-0.07915594835766294,-0.07915574162046679
13,50,4,utility_2,multiply,kendall,-0.021052631578947368,-0.021052631303285604
11,50,4,utility_3,multiply,spearman,0.28721804511278193,0.28709131382437353
45,50,4,utility_3,multiply,kendall,0.23157894736842105,0.23153533800008738
4,50,3,utility_3,add,kendall,0.20580546572992364,0.20578119831819913
21,50,4,utility_2,multiply,spearman,0.11729323308270674,0.11729175982812895
20,50,3,utility_1,multiply,spearman,0.4285714285714286,0.42766615993452944
22,50,3,utility_3,add,spearman,0.26315789473684204,0.26307569599977987
9,50,4,utility_1,multiply,kendall,0.052631578947368425,0.05263155204815639
3,50,3,utility_3,multiply,kendall,0.005277063223844196,0.005277063223571383
26,50,4,utility_2,add,kendall,-0.10526315789473685,-0.10526229950600086
11,50,2,utility_1,multiply,kendall,0.38947368421052636,0.38890629334855137
26,50,2,utility_1,add,kendall,0.20106101540302043,0.20103940508790466
47,50,3,utility_2,multiply,kendall,-0.2947368421052632,-0.29459284658637697
56,50,4,utility_3,add,kendall,-0.11578947368421053,-0.11578809231631905
50,50,2,utility_2,multiply,kendall,0.0,0.0
56,50,3,utility_3,add,spearman,0.060150375939849614,0.06015032351026499
4,50,2,utility_1,add,kendall,0.10526315789473685,0.10526229950600086
5,50,3,utility_3,multiply,kendall,0.010526315789473684,0.0105263157808583
59,50,2,utility_1,multiply,kendall,-0.052631578947368425,-0.05263155204815639
30,50,4,utility_3,multiply,kendall,-0.07915594835766293,-0.07915574162046678
34,50,4,utility_2,add,kendall,-0.05804769546228616,-0.05804765157430373
38,50,2,utility_1,multiply,kendall,-0.08971007480535134,-0.08970968848429886
2,50,2,utility_2,add,kendall,0.25263157894736843,0.2525644326415041
36,50,3,utility_3,multiply,spearman,0.32481203007518794,0.324579452202816
20,50,4,utility_2,multiply,spearman,-0.20751879699248119,-0.20749350853408807
32,50,3,utility_2,multiply,kendall,-0.22105263157894736,-0.22101801670355006
47,50,2,utility_1,multiply,kendall,0.18947368421052632,0.1894575989307692
13,50,3,utility_2,add,kendall,-0.0736842105263158,-0.07368406598423834
6,50,4,utility_1,multiply,spearman,0.12932330827067667,0.12932091017997702
12,50,4,utility_1,multiply,kendall,0.17894736842105263,0.17893526584868608
37,50,2,utility_2,multiply,spearman,0.07218045112781954,0.07218032073553833
2,50,4,utility_2,multiply,spearman,-0.10827067669172932,-0.10826968867793796
26,50,2,utility_3,multiply,spearman,-0.5684210526315789,-0.5648841867609767
57,50,3,utility_2,add,spearman,0.010526315789473682,0.010526315780858298
7,50,4,utility_1,add,spearman,-0.04060150375939849,-0.040601496407819404
35,50,2,utility_2,multiply,spearman,0.1639097744360902,0.16390195765063495
5,50,2,utility_3,add,spearman,0.11127819548872178,0.11127706266276433
39,50,4,utility_2,multiply,kendall,0.031578947368421054,0.03157894527550118
30,50,3,utility_1,add,kendall,0.31134673020680753,0.31115797282461216
55,50,4,utility_3,add,spearman,-0.13082706766917293,-0.13082452720722293
22,50,3,utility_3,multiply,kendall,0.09473684210526316,0.0947363348784088
24,50,2,utility_3,add,kendall,0.18947368421052632,0.1894575989307692
50,50,3,utility_3,add,kendall,0.1473684210526316,0.14736382085161526
38,50,2,utility_3,add,kendall,0.005277063223844196,0.005277063223571383
31,50,4,utility_1,add,kendall,-0.2997553409383687,-0.29959882124470544
45,50,4,utility_3,multiply,spearman,0.35939849624060144,0.3590158876997154
39,50,4,utility_2,add,spearman,0.47518796992481205,0.4736931847247705
10,50,4,utility_2,add,kendall,-0.09473684210526316,-0.0947363348784088
35,50,2,utility_2,add,kendall,0.18947368421052632,0.1894575989307692
15,50,2,utility_2,multiply,kendall,-0.269130224416054,-0.2690383644929097
47,50,3,utility_2,multiply,spearman,-0.4030075187969925,-0.40233695316276386
50,50,2,utility_2,multiply,spearman,-0.018045112781954885,-0.01804511265441101
13,50,4,utility_3,add,kendall,0.15789473684210525,0.15788824863728226
38,50,4,utility_2,add,spearman,0.03909774436090225,0.03909773827330502
60,50,4,utility_1,multiply,kendall,0.010526315789473684,0.0105263157808583
41,50,2,utility_1,multiply,spearman,0.5142857142857143,0.5120962157902195
31,50,2,utility_3,multiply,spearman,-0.17593984962406017,-0.17592872646552205
37,50,2,utility_2,add,spearman,0.06917293233082707,0.06917282691726474
52,50,3,utility_3,add,kendall,0.04749356901459776,0.04749355291718325
30,50,2,utility_2,add,spearman,0.025563909774436087,0.025563909046739216
5,50,3,utility_1,add,kendall,0.12631578947368421,0.12631365701011676
13,50,2,utility_1,multiply,kendall,0.2947368421052632,0.29459284658637697
54,50,2,utility_2,add,spearman,-0.03157894736842105,-0.031578945275501175
2,50,4,utility_2,add,spearman,-0.21654135338345865,-0.2165101085445842
25,50,4,utility_3,multiply,kendall,-0.31134673020680753,-0.31115797282461216
33,50,3,utility_1,add,spearman,-0.02706766917293233,-0.027067668204527457
48,50,2,utility_3,add,kendall,0.24802197152067723,0.24796068361656076
49,50,4,utility_3,add,kendall,-0.1473684210526316,-0.14736382085161526
10,50,4,utility_3,add,spearman,0.28721804511278193,0.28709131382437353
36,50,3,utility_3,add,spearman,0.23609022556390977,0.23604223407305197
4,50,4,utility_1,multiply,kendall,0.2105263157894737,0.21049915247334955
36,50,2,utility_1,add,kendall,0.01583118967153259,0.01583118960524378
58,50,3,utility_2,multiply,spearman,-0.13082706766917293,-0.13082452720722293
47,50,2,utility_3,add,spearman,0.1609022556390977,0.1608951278128157
49,50,2,utility_1,multiply,spearman,0.048120300751879695,0.04812028356428607
