iteration,node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
51,35,3,utility_1,add,kendall,0.25396825396825395,0.25389932825142486
15,35,2,utility_2,add,spearman,0.0631578947368421,0.06315782783021069
29,35,2,utility_2,multiply,spearman,0.15939849624060148,0.15939169422226943
58,35,4,utility_2,add,spearman,-0.28872180451127816,-0.28859175914697177
2,35,3,utility_1,add,spearman,-0.08421052631578946,-0.08421024466370527
26,35,4,utility_2,multiply,kendall,0.010526315789473684,0.0105263157808583
47,35,2,utility_3,add,spearman,0.26917293233082706,0.26908100021780657
7,35,2,utility_3,add,kendall,0.1368421052631579,0.13683892627378003
22,35,4,utility_1,multiply,kendall,-0.042105263157894736,-0.04210525434062847
4,35,4,utility_2,multiply,kendall,0.3684210526315789,0.3679889256801694
17,35,3,utility_1,add,spearman,-0.03458646616541353,-0.03458646286729324
58,35,4,utility_2,multiply,spearman,0.07218045112781954,0.07218032073553833
3,35,4,utility_2,add,kendall,-0.12631578947368421,-0.12631365701011676
29,35,3,utility_3,add,spearman,-0.10827067669172932,-0.10826968867793796
52,35,2,utility_2,add,spearman,0.0706766917293233,0.07067657435688342
58,35,4,utility_1,add,spearman,0.14736842105263157,0.14736382085161523
10,35,2,utility_1,add,kendall,0.3368421052631579,0.3365639078688606
45,35,2,utility_1,add,kendall,0.09473684210526316,0.0947363348784088
42,35,3,utility_2,multiply,spearman,0.4857142857142857,0.48405236766916143
14,35,3,utility_2,add,kendall,-0.10026420125303973,-0.10026352799626462
43,35,4,utility_2,multiply,spearman,0.5578947368421052,0.5546597902059746
48,35,2,utility_2,multiply,spearman,0.37293233082706767,0.3724736215584393
50,35,4,utility_1,multiply,spearman,0.5157894736842105,0.5135689955450037
49,35,4,utility_1,add,kendall,-0.0901859936612243,-0.09018559699490111
54,35,3,utility_2,multiply,spearman,-0.21954887218045113,-0.219515411279098
47,35,4,utility_2,multiply,spearman,0.3203007518796992,0.320083666303474
54,35,3,utility_3,add,kendall,0.1368421052631579,0.13683892627378003
56,35,3,utility_1,add,kendall,0.1473684210526316,0.14736382085161526
58,35,3,utility_2,multiply,kendall,0.11578947368421053,0.11578809231631905
19,35,3,utility_1,multiply,kendall,-0.0212768967441043,-0.02127689645344473
35,35,3,utility_2,multiply,spearman,0.30977443609022554,0.30959033540188113
4,35,2,utility_1,add,kendall,-0.08465726964337703,-0.08465698044796148
32,35,2,utility_2,add,spearman,-0.18496240601503755,-0.1849481384950974
5,35,3,utility_2,multiply,kendall,0.09473684210526316,0.0947363348784088
24,35,4,utility_1,multiply,kendall,0.19999999999999998,0.19997895087522655
38,35,2,utility_3,add,spearman,0.42556390977443603,0.42468917883968016
37,35,3,utility_2,multiply,spearman,0.06917293233082707,0.06917282691726474
56,35,2,utility_3,add,spearman,-0.6586466165413534,-0.6515470899882917
39,35,2,utility_2,add,spearman,-0.1969924812030075,-0.19697295997470446
42,35,3,utility_2,add,kendall,0.19999999999999998,0.19997895087522655
2,35,4,utility_2,multiply,kendall,0.08421052631578947,0.08421024466370529
41,35,3,utility_2,add,spearman,0.2541353383458646,0.25406618759397787
38,35,2,utility_1,multiply,spearman,-0.0015037593984962405,-0.0015037593984957279
41,35,2,utility_1,multiply,spearman,0.5834586466165413,0.5794534171753118
17,35,4,utility_3,multiply,kendall,0.10526315789473685,0.10526229950600086
15,35,4,utility_1,add,kendall,0.1319265805961049,0.13192393182669873
