iteration,node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
22,20,2,utility_1,add,kendall,0.33245498310218435,0.3321941735810184
3,20,4,utility_1,add,spearman,0.03458646616541353,0.03458646286729324
54,20,4,utility_2,add,kendall,-0.06315789473684211,-0.06315782783021072
29,20,3,utility_3,multiply,spearman,-0.23909774436090225,-0.23904664195251113
31,20,3,utility_2,add,spearman,-0.08872180451127819,-0.08872143898407647
2,20,3,utility_3,multiply,kendall,0.1473684210526316,0.14736382085161526
17,20,2,utility_3,multiply,spearman,0.004511278195488721,0.004511278195364153
4,20,3,utility_1,add,kendall,0.4274421211313799,0.42654841560188367
2,20,4,utility_2,add,kendall,0.06315789473684211,0.06315782783021072
16,20,4,utility_2,multiply,spearman,-0.2796992481203007,-0.2795880972963264
30,20,3,utility_3,add,kendall,-0.04232863482168851,-0.042328625768103104
47,20,3,utility_2,add,kendall,-0.09473684210526316,-0.0947363348784088
11,20,2,utility_3,multiply,spearman,0.3654135338345864,0.3649984429002506
14,20,4,utility_1,multiply,kendall,0.005305207760646088,0.0053052077603659206
41,20,4,utility_3,multiply,kendall,0.1473684210526316,0.14736382085161526
51,20,2,utility_2,add,kendall,0.22105263157894736,0.22101801670355006
1,20,3,utility_3,multiply,spearman,0.6015037593984961,0.5968752801413351
3,20,3,utility_3,add,spearman,0.17593984962406017,0.17592872646552205
8,20,2,utility_2,add,kendall,0.15873238058133193,0.15872571903193824
10,20,4,utility_2,add,spearman,-0.24962406015037594,-0.24956078418875213
56,20,3,utility_1,add,spearman,0.41654135338345866,0.41575341741196764
23,20,4,utility_3,multiply,kendall,0.0,0.0
44,20,4,utility_1,add,kendall,0.2962962962962963,0.2961484973659625
44,20,3,utility_3,multiply,spearman,0.24060150375939846,0.24054878690170026
18,20,2,utility_3,add,spearman,-0.2421052631578947,-0.24205089155311824
47,20,4,utility_2,add,kendall,0.09473684210526316,0.0947363348784088
39,20,4,utility_1,add,spearman,0.21052631578947367,0.21049915247334955
38,20,3,utility_1,multiply,kendall,0.07915594835766293,0.07915574162046678
9,20,4,utility_3,multiply,spearman,-0.6060150375939849,-0.601219760930409
45,20,4,utility_2,add,kendall,0.0,0.0
27,20,4,utility_3,multiply,kendall,-0.28421052631578947,-0.2840902221944039
23,20,4,utility_1,add,spearman,0.33082706766917286,0.33057248702539366
13,20,3,utility_2,add,spearman,0.09172932330827067,0.09172889156054181
54,20,3,utility_3,multiply,spearman,-0.29774436090225564,-0.2975929593528953
48,20,2,utility_1,multiply,kendall,-0.1473684210526316,-0.14736382085161526
12,20,2,utility_2,multiply,kendall,0.17894736842105263,0.17893526584868608
40,20,2,utility_1,multiply,kendall,0.2105263157894737,0.21049915247334955
51,20,3,utility_1,multiply,kendall,0.11578947368421053,0.11578809231631905
6,20,4,utility_1,multiply,spearman,-0.08270676691729321,-0.0827065095089057
18,20,2,utility_2,multiply,spearman,0.3984962406015037,0.3978615793707508
18,20,3,utility_1,multiply,kendall,0.1473684210526316,0.14736382085161526
26,20,2,utility_2,multiply,kendall,0.1473684210526316,0.14736382085161526
11,20,2,utility_3,add,spearman,0.5082706766917292,0.5062017602975405
42,20,4,utility_3,multiply,spearman,0.2556390977443609,0.2555678952892157
30,20,4,utility_2,multiply,spearman,0.17744360902255638,0.17743200439457146
51,20,4,utility_2,add,spearman,-0.2120300751879699,-0.21200193383345273
2,20,3,utility_3,multiply,spearman,0.26616541353383455,0.2660784562009413
10,20,2,utility_2,multiply,kendall,0.17894736842105263,0.17893526584868608
16,20,4,utility_2,add,spearman,-0.1609022556390977,-0.1608951278128157
60,20,3,utility_1,add,kendall,0.1368421052631579,0.13683892627378003
27,20,2,utility_2,multiply,spearman,0.04210526315789473,0.042105254340628465
32,20,4,utility_2,add,kendall,-0.005277063223844196,-0.005277063223571383
30,20,4,utility_1,add,kendall,0.19525133928223526,0.1952326613424539
3,20,2,utility_2,multiply,spearman,0.431578947368421,0.4306423119387123
41,20,4,utility_3,multiply,spearman,0.2421052631578947,0.24205089155311824
39,20,3,utility_2,add,spearman,0.07218045112781954,0.07218032073553833
10,20,4,utility_2,multiply,kendall,-0.0736842105263158,-0.07368406598423834
59,20,3,utility_1,add,kendall,0.010526315789473684,0.0105263157808583
36,20,4,utility_2,add,kendall,-0.06315789473684211,-0.06315782783021072
39,20,4,utility_1,multiply,kendall,0.10526315789473685,0.10526229950600086
40,20,3,utility_2,multiply,kendall,0.052631578947368425,0.05263155204815639
23,20,4,utility_2,add,kendall,0.18947368421052632,0.1894575989307692
27,20,4,utility_1,add,kendall,0.005277063223844196,0.005277063223571383
51,20,4,utility_1,add,spearman,0.3969924812030075,0.39636944606982
8,20,2,utility_2,add,spearman,0.2857142857142857,0.28559080117016283
43,20,4,utility_2,add,kendall,-0.3007926037591192,-0.30063339107243764
35,20,4,utility_2,multiply,kendall,-0.2736842105263158,-0.2735843952206583
46,20,3,utility_3,add,kendall,0.06315789473684211,0.06315782783021072
18,20,2,utility_3,add,kendall,-0.1368421052631579,-0.13683892627378003
11,20,3,utility_2,add,spearman,0.1789473684210526,0.17893526584868608
24,20,2,utility_2,add,kendall,0.09473684210526316,0.0947363348784088
36,20,2,utility_2,add,kendall,-0.021052631578947368,-0.021052631303285604
49,20,2,utility_2,multiply,kendall,-0.04749356901459776,-0.04749355291718325
2,20,2,utility_3,multiply,spearman,0.08120300751879699,0.08120277265623216
23,20,2,utility_2,add,kendall,0.10026420125303973,0.10026352799626462
36,20,3,utility_2,multiply,kendall,-0.010526315789473684,-0.0105263157808583
20,20,2,utility_1,add,kendall,0.2631578947368421,0.26307569599977987
5,20,2,utility_2,add,spearman,0.16992481203007515,0.1699154580843313
53,20,2,utility_1,add,spearman,0.02706766917293233,0.027067668204527457
39,20,3,utility_1,multiply,kendall,0.10526315789473685,0.10526229950600086
18,20,2,utility_2,add,spearman,0.41353383458646614,0.41277327552524495
43,20,3,utility_3,add,spearman,-0.22105263157894736,-0.22101801670355006
26,20,3,utility_3,add,spearman,-0.2270676691729323,-0.22702811748838178
51,20,3,utility_1,add,spearman,-0.004511278195488721,-0.004511278195364153
19,20,4,utility_2,add,kendall,0.0,0.0
22,20,2,utility_1,multiply,spearman,0.35488721804511275,0.35452762805313687
55,20,4,utility_2,add,kendall,0.2105263157894737,0.21049915247334955
19,20,3,utility_1,multiply,kendall,0.31134673020680753,0.31115797282461216
19,20,4,utility_1,multiply,kendall,0.16842105263157894,0.16841210378594335
23,20,2,utility_2,multiply,spearman,0.18345864661654135,0.18344494716810414
23,20,4,utility_1,multiply,spearman,0.18045112781954886,0.1804385104119264
54,20,2,utility_3,multiply,spearman,0.045112781954887216,0.045112769506528975
36,20,3,utility_3,add,spearman,0.05413533834586466,0.05413530737961733
17,20,3,utility_3,multiply,kendall,0.0,0.0
52,20,3,utility_1,multiply,kendall,0.11081832770072811,0.11081721805174248
47,20,2,utility_3,add,spearman,0.19097744360902258,0.19096071303651135
58,20,3,utility_3,multiply,kendall,-0.25263157894736843,-0.2525644326415041
30,20,4,utility_1,multiply,kendall,0.1473684210526316,0.14736382085161526
49,20,2,utility_1,multiply,spearman,0.39097744360902253,0.3903992496018281
18,20,4,utility_1,multiply,kendall,-0.1213724541484165,-0.12137070682964225
59,20,2,utility_1,add,kendall,0.042105263157894736,0.04210525434062847
51,20,4,utility_3,add,spearman,0.0,0.0
35,20,2,utility_1,multiply,spearman,0.5609022556390978,0.5575831550103678
53,20,2,utility_2,add,kendall,0.031578947368421054,0.03157894527550118
27,20,4,utility_1,add,spearman,0.003007518796992481,0.003007518796976077
13,20,3,utility_3,multiply,kendall,0.24210526315789474,0.2420508915531183
58,20,3,utility_1,multiply,spearman,-0.16992481203007515,-0.1699154580843313
25,20,2,utility_2,add,kendall,0.25263157894736843,0.2525644326415041
27,20,4,utility_2,multiply,kendall,0.21635959217761205,0.2163284774236518
28,20,3,utility_2,multiply,spearman,0.010526315789473682,0.010526315780858298
42,20,4,utility_3,add,kendall,0.1368421052631579,0.13683892627378003
33,20,4,utility_2,add,spearman,-0.21804511278195485,-0.21801277502114386
15,20,4,utility_3,add,kendall,0.15789473684210525,0.15788824863728226
25,20,3,utility_3,add,kendall,0.09473684210526316,0.0947363348784088
60,20,4,utility_2,multiply,spearman,0.08270676691729321,0.0827065095089057
16,20,2,utility_3,multiply,spearman,0.4496240601503759,0.44848091177114696
58,20,3,utility_2,multiply,spearman,-0.20902255639097742,-0.2089963438509244
36,20,2,utility_1,add,kendall,0.43157894736842106,0.43064231193871233
37,20,4,utility_3,add,spearman,0.27669172932330827,0.2765863671820262
6,20,4,utility_2,add,kendall,0.052631578947368425,0.05263155204815639
37,20,4,utility_1,multiply,kendall,-0.09473684210526316,-0.0947363348784088
50,20,2,utility_2,add,kendall,0.005277063223844196,0.005277063223571383
42,20,2,utility_2,multiply,spearman,0.05714285714285714,0.05714281656906838
46,20,3,utility_2,add,spearman,-0.02857142857142857,-0.02857142730246157
17,20,2,utility_2,add,spearman,0.2045112781954887,0.20448776005045322
29,20,3,utility_1,multiply,kendall,0.06315789473684211,0.06315782783021072
32,20,4,utility_2,multiply,kendall,0.1750718561013209,0.17506100351546278
6,20,3,utility_2,multiply,spearman,0.41804511278195483,0.41724320160504824
27,20,2,utility_3,multiply,kendall,-0.06315789473684211,-0.06315782783021072
26,20,3,utility_3,multiply,spearman,0.13383458646616542,0.13383174101827502
48,20,2,utility_2,add,kendall,0.0,0.0
15,20,3,utility_1,multiply,spearman,0.0781954887218045,0.07819529421658951
56,20,4,utility_2,multiply,spearman,0.20902255639097742,0.2089963438509244
43,20,4,utility_1,add,kendall,0.1133003551405198,0.11329911576422351
33,20,2,utility_2,multiply,kendall,-0.23157894736842105,-0.23153533800008738
53,20,2,utility_1,multiply,spearman,-0.11428571428571428,-0.11428442016742348
47,20,2,utility_1,add,spearman,0.4090225563909774,0.40830165709978217
46,20,3,utility_1,add,spearman,0.45714285714285713,0.4559038405945513
24,20,4,utility_3,add,kendall,0.0736842105263158,0.07368406598423834
