features,Nearest Neighbors,Linear SVM,RBF SVM,Decision Tree,Random Forest,AdaBoost,LogisticRegression
"(0, 1, 2, 3, 6)",1.0,1.0,0.92307692307692302,1.0,1.0,1.0,1.0
"(0, 1, 2, 3, 7)",0.90909090909090906,1.0,1.0,1.0,0.80000000000000004,0.80000000000000004,0.90909090909090906
"(0, 1, 2, 3, 8)",1.0,1.0,0.92307692307692302,0.92307692307692302,1.0,1.0,1.0
"(0, 1, 2, 4, 6)",1.0,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,1.0
"(0, 1, 2, 4, 7)",0.90909090909090906,0.90909090909090906,0.90909090909090906,0.80000000000000004,0.90909090909090906,0.92307692307692302,0.80000000000000004
"(0, 1, 2, 4, 8)",0.90909090909090906,0.90909090909090906,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.90909090909090906
"(0, 1, 2, 6, 7)",0.80000000000000004,0.90909090909090906,0.92307692307692302,0.80000000000000004,0.90909090909090906,0.80000000000000004,0.80000000000000004
"(0, 1, 2, 6, 8)",1.0,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(0, 1, 2, 7, 8)",1.0,1.0,1.0,1.0,1.0,0.92307692307692302,1.0
"(0, 1, 3, 4, 6)",1.0,1.0,1.0,1.0,0.90909090909090906,1.0,1.0
"(0, 1, 3, 4, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 1, 3, 4, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 1, 3, 6, 7)",0.90909090909090906,0.90909090909090906,1.0,1.0,0.90909090909090906,1.0,0.90909090909090906
"(0, 1, 3, 6, 8)",0.90909090909090906,0.90909090909090906,1.0,1.0,0.90909090909090906,0.80000000000000004,0.90909090909090906
"(0, 1, 3, 7, 8)",0.90909090909090906,0.90909090909090906,1.0,1.0,1.0,1.0,0.90909090909090906
"(0, 1, 4, 6, 7)",0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,1.0,1.0
"(0, 1, 4, 6, 8)",0.80000000000000004,0.80000000000000004,1.0,0.66666666666666663,1.0,0.92307692307692302,1.0
"(0, 1, 4, 7, 8)",1.0,1.0,0.90909090909090906,0.90909090909090906,1.0,0.92307692307692302,0.90909090909090906
"(0, 1, 6, 7, 8)",0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906
"(0, 2, 3, 4, 6)",0.90909090909090906,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 2, 3, 4, 7)",1.0,1.0,0.92307692307692302,1.0,0.92307692307692302,1.0,1.0
"(0, 2, 3, 4, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 2, 3, 6, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 2, 3, 6, 8)",1.0,1.0,0.92307692307692302,1.0,1.0,0.92307692307692302,1.0
"(0, 2, 3, 7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 2, 4, 6, 7)",0.90909090909090906,0.90909090909090906,0.83333333333333337,0.90909090909090906,0.83333333333333337,0.83333333333333337,0.90909090909090906
"(0, 2, 4, 6, 8)",0.80000000000000004,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(0, 2, 4, 7, 8)",1.0,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(0, 2, 6, 7, 8)",0.92307692307692302,0.92307692307692302,1.0,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906
"(0, 3, 4, 6, 7)",0.90909090909090906,0.90909090909090906,1.0,1.0,1.0,1.0,0.90909090909090906
"(0, 3, 4, 6, 8)",0.80000000000000004,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 3, 4, 7, 8)",0.66666666666666663,0.66666666666666663,0.66666666666666663,1.0,0.66666666666666663,0.5,0.66666666666666663
"(0, 3, 6, 7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 4, 6, 7, 8)",0.90909090909090906,0.90909090909090906,0.83333333333333337,0.83333333333333337,0.83333333333333337,0.83333333333333337,0.90909090909090906
"(1, 2, 3, 4, 6)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 2, 3, 4, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 2, 3, 4, 8)",1.0,1.0,1.0,1.0,0.90909090909090906,1.0,1.0
"(1, 2, 3, 6, 7)",1.0,1.0,0.92307692307692302,1.0,1.0,1.0,1.0
"(1, 2, 3, 6, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 2, 3, 7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 2, 4, 6, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 2, 4, 6, 8)",1.0,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(1, 2, 4, 7, 8)",1.0,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(1, 2, 6, 7, 8)",0.90909090909090906,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(1, 3, 4, 6, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 3, 4, 6, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 3, 4, 7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 3, 6, 7, 8)",0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,1.0,0.80000000000000004,0.80000000000000004
"(1, 4, 6, 7, 8)",0.92307692307692302,1.0,0.92307692307692302,1.0,1.0,0.92307692307692302,1.0
"(2, 3, 4, 6, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(2, 3, 4, 6, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(2, 3, 4, 7, 8)",1.0,1.0,1.0,1.0,0.90909090909090906,1.0,1.0
"(2, 3, 6, 7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(2, 4, 6, 7, 8)",1.0,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(3, 4, 6, 7, 8)",0.90909090909090906,1.0,1.0,1.0,1.0,1.0,0.90909090909090906
"(0, 1, 2, 3, 4, 6)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 1, 2, 3, 4, 7)",1.0,1.0,0.92307692307692302,1.0,1.0,0.92307692307692302,1.0
"(0, 1, 2, 3, 4, 8)",1.0,1.0,0.92307692307692302,0.92307692307692302,1.0,1.0,1.0
"(0, 1, 2, 3, 6, 7)",1.0,1.0,0.92307692307692302,1.0,0.92307692307692302,0.92307692307692302,1.0
"(0, 1, 2, 3, 6, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 1, 2, 3, 7, 8)",1.0,1.0,0.90909090909090906,1.0,1.0,0.80000000000000004,0.90909090909090906
"(0, 1, 2, 4, 6, 7)",1.0,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,1.0
"(0, 1, 2, 4, 6, 8)",0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(0, 1, 2, 4, 7, 8)",1.0,1.0,1.0,0.90909090909090906,1.0,1.0,1.0
"(0, 1, 2, 6, 7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 1, 3, 4, 6, 7)",0.90909090909090906,0.90909090909090906,1.0,1.0,0.90909090909090906,1.0,0.90909090909090906
"(0, 1, 3, 4, 6, 8)",0.90909090909090906,0.90909090909090906,1.0,1.0,0.90909090909090906,1.0,0.90909090909090906
"(0, 1, 3, 4, 7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 1, 3, 6, 7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 1, 4, 6, 7, 8)",1.0,1.0,0.90909090909090906,0.90909090909090906,0.83333333333333337,0.92307692307692302,1.0
"(0, 2, 3, 4, 6, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 2, 3, 4, 6, 8)",0.80000000000000004,1.0,0.92307692307692302,0.92307692307692302,1.0,1.0,1.0
"(0, 2, 3, 4, 7, 8)",1.0,1.0,1.0,0.92307692307692302,1.0,1.0,1.0
"(0, 2, 3, 6, 7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 2, 4, 6, 7, 8)",0.80000000000000004,0.90909090909090906,0.83333333333333337,0.90909090909090906,0.90909090909090906,0.83333333333333337,0.90909090909090906
"(0, 3, 4, 6, 7, 8)",0.90909090909090906,1.0,1.0,1.0,0.90909090909090906,1.0,0.90909090909090906
