iteration,node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
59,10,4,utility_1,multiply,kendall,0.010526315789473684,0.0105263157808583
4,10,2,utility_1,multiply,spearman,0.6240601503759398,0.6185513152706779
57,10,4,utility_1,add,kendall,0.042105263157894736,0.04210525434062847
8,10,3,utility_1,add,spearman,0.4586466165413533,0.4573876950048684
14,10,4,utility_2,multiply,kendall,0.0736842105263158,0.07368406598423834
46,10,3,utility_2,multiply,spearman,-0.05714285714285714,-0.05714281656906838
12,10,4,utility_2,multiply,spearman,0.16541353383458643,0.16540535320241864
39,10,4,utility_3,multiply,kendall,0.12631578947368421,0.12631365701011676
15,10,2,utility_1,add,spearman,0.3954887218045112,0.394877144696034
58,10,3,utility_1,add,kendall,0.31134673020680753,0.31115797282461216
30,10,2,utility_1,multiply,spearman,0.4421052631578947,0.44105208398603846
8,10,2,utility_2,multiply,kendall,-0.4210526315789474,-0.4202221870011512
45,10,2,utility_2,multiply,kendall,0.010526315789473684,0.0105263157808583
1,10,4,utility_1,add,kendall,-0.026385316119220983,-0.026385315266868055
29,10,2,utility_1,multiply,kendall,0.2105263157894737,0.21049915247334955
10,10,3,utility_2,add,kendall,0.19999999999999998,0.19997895087522655
9,10,3,utility_2,add,kendall,-0.10526315789473685,-0.10526229950600086
36,10,2,utility_1,add,kendall,0.38522561534062627,0.38468788727806663
4,10,4,utility_3,add,spearman,-0.12180451127819547,-0.12180273269957702
44,10,2,utility_2,multiply,kendall,0.15789473684210525,0.15788824863728226
50,10,2,utility_2,multiply,kendall,0.16842105263157894,0.16841210378594335
4,10,4,utility_1,multiply,kendall,0.06315789473684211,0.06315782783021072
58,10,4,utility_3,multiply,spearman,0.32631578947368417,0.32607785769349706
11,10,4,utility_2,multiply,spearman,0.09323308270676692,0.09323261443393008
32,10,3,utility_3,multiply,kendall,-0.12631578947368421,-0.12631365701011676
11,10,3,utility_2,add,spearman,-0.10225563909774435,-0.10225489637108244
34,10,3,utility_1,multiply,spearman,-0.29323308270676685,-0.2930926808815664
34,10,4,utility_3,add,kendall,0.10079894745227566,0.10079825607418201
2,10,4,utility_1,add,spearman,0.1789473684210526,0.17893526584868608
49,10,3,utility_2,add,kendall,0.12631578947368421,0.12631365701011676
16,10,2,utility_2,add,kendall,-0.15789473684210525,-0.15788824863728226
16,10,2,utility_1,multiply,kendall,0.16842105263157894,0.16841210378594335
26,10,4,utility_3,multiply,spearman,-0.21052631578947367,-0.21049915247334955
59,10,2,utility_1,add,spearman,0.05714285714285714,0.05714281656906838
40,10,4,utility_1,add,spearman,0.4360902255639097,0.4351049505988393
42,10,4,utility_3,add,spearman,-0.11428571428571428,-0.11428442016742348
21,10,3,utility_1,multiply,kendall,0.15789473684210525,0.15788824863728226
24,10,3,utility_2,add,spearman,0.07218045112781954,0.07218032073553833
11,10,3,utility_3,multiply,spearman,-0.21654135338345865,-0.2165101085445842
26,10,4,utility_1,add,spearman,0.010526315789473682,0.010526315780858298
17,10,2,utility_2,add,kendall,0.38947368421052636,0.38890629334855137
52,10,2,utility_1,multiply,kendall,0.4210526315789474,0.4202221870011512
23,10,2,utility_3,add,spearman,-0.0781954887218045,-0.07819529421658951
37,10,4,utility_2,add,spearman,0.28721804511278193,0.28709131382437353
48,10,3,utility_1,add,spearman,0.16541353383458643,0.16540535320241864
5,10,4,utility_1,add,kendall,0.0,0.0
8,10,2,utility_1,add,kendall,0.36411736244524956,0.36370944827497353
46,10,3,utility_2,add,spearman,0.06616541353383458,0.06616532911687249
18,10,3,utility_2,add,spearman,0.3413533834586466,0.34105636356976704
37,10,2,utility_1,add,kendall,0.6000000000000001,0.5954261216339142
15,10,2,utility_1,multiply,spearman,0.3037593984962406,0.30359228008325867
40,10,4,utility_2,add,spearman,0.23308270676691725,0.23303767365457995
30,10,3,utility_1,multiply,kendall,0.021052631578947368,0.021052631303285604
42,10,3,utility_3,add,spearman,0.022556390977443608,0.02255639058823436
58,10,2,utility_2,add,spearman,0.26315789473684204,0.26307569599977987
51,10,3,utility_3,add,spearman,0.13533834586466165,0.13533533733540531
53,10,2,utility_1,add,spearman,0.7458646616541353,0.7332203901828862
16,10,3,utility_2,multiply,kendall,-0.052631578947368425,-0.05263155204815639
1,10,3,utility_3,multiply,kendall,0.15789473684210525,0.15788824863728226
9,10,3,utility_2,add,spearman,-0.1639097744360902,-0.16390195765063495
17,10,2,utility_3,multiply,kendall,0.17894736842105263,0.17893526584868608
