node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
5,2,utility_3,add,kendall,0.23127712699609537,0.21658404862032105
5,2,utility_2,multiply,spearman,0.3263959899749373,0.2986827324270797
5,2,utility_1,add,kendall,0.5766762570628241,0.5616315781085005
5,3,utility_3,multiply,kendall,0.13040819623314176,0.1211852900482801
5,3,utility_2,multiply,kendall,0.21310829352373312,0.2047580887480606
5,4,utility_1,multiply,kendall,0.22458354362533883,0.2161202412805786
5,3,utility_1,add,kendall,0.3161058831013195,0.3037355855002578
5,3,utility_1,multiply,kendall,0.3420428552928699,0.32770592790915687
5,3,utility_3,add,kendall,0.09123046765782612,0.08683627270683895
5,4,utility_2,multiply,spearman,0.1313082706766917,0.1227616656085584
5,3,utility_2,add,kendall,0.1743573043026666,0.16938840102964742
5,4,utility_1,add,kendall,0.19928059372139512,0.19224690411415793
5,4,utility_2,add,kendall,0.10035356464367566,0.09736657534133866
5,4,utility_3,add,kendall,0.06546511161711421,0.0632922291344788
5,2,utility_3,add,spearman,0.3051829573934837,0.27519515430712427
5,2,utility_1,multiply,kendall,0.5714504263179964,0.555560784092604
5,2,utility_2,multiply,kendall,0.24317766898205448,0.2305881156501989
5,2,utility_1,add,spearman,0.6997293233082706,0.6697341770719322
5,2,utility_3,multiply,kendall,0.2340384069917613,0.21911992222823223
5,2,utility_2,add,spearman,0.3329724310776942,0.30811067147400156
5,3,utility_2,multiply,spearman,0.28942355889724314,0.271343624269232
5,4,utility_1,multiply,spearman,0.2888822055137844,0.2707305826621946
5,3,utility_3,multiply,spearman,0.16753884711779446,0.1485829137744728
5,4,utility_3,multiply,kendall,0.10816167222338217,0.10323378486717738
5,4,utility_2,multiply,kendall,0.0978168388762377,0.09379551237803714
5,3,utility_2,add,spearman,0.24990476190476188,0.23797115511189584
5,4,utility_1,add,spearman,0.2713784461152882,0.25703108013265513
5,3,utility_1,add,spearman,0.3969924812030074,0.37378287712251
5,3,utility_1,multiply,spearman,0.42207518796992477,0.39359823973991137
5,4,utility_3,multiply,spearman,0.13924812030075187,0.1303164958146351
5,4,utility_3,add,spearman,0.0799799498746867,0.07560264855620055
5,3,utility_3,add,spearman,0.12252631578947368,0.11304431476714343
5,2,utility_1,multiply,spearman,0.6885814536340851,0.6583270829071991
5,2,utility_3,multiply,spearman,0.30616541353383453,0.2760239924815957
5,4,utility_2,add,spearman,0.14155388471177943,0.13481189836439397
5,2,utility_2,add,kendall,0.23878861189422787,0.22803880290058381
