node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
20,4,utility_3,multiply,spearman,0.019288220551378448,0.016444496474853
20,4,utility_1,multiply,spearman,0.07458646616541352,0.07146567915635013
20,3,utility_1,add,spearman,0.15907769423558896,0.14913093773740568
20,3,utility_3,multiply,spearman,0.038456140350877195,0.03469956311316688
20,3,utility_3,add,spearman,0.03588972431077694,0.03336351262285391
20,2,utility_2,add,spearman,-0.012390977443609027,-0.010686325599655423
20,3,utility_1,multiply,spearman,0.14821052631578946,0.13844521631377604
20,3,utility_2,multiply,spearman,-0.02776942355889725,-0.026366071447389658
20,3,utility_2,add,spearman,0.010646616541353383,0.010396553595468918
20,2,utility_1,multiply,kendall,0.26378098593748295,0.2524527518037412
20,2,utility_3,add,spearman,0.051528822055137834,0.048875556423588984
20,2,utility_3,multiply,kendall,0.05863629584178806,0.05599700714844622
20,2,utility_1,add,spearman,0.33914786967418536,0.3172081202918878
20,4,utility_2,add,spearman,0.031137844611528825,0.028830863348289226
20,2,utility_2,multiply,kendall,0.00019806042121640527,-0.00012174672575672347
20,4,utility_3,multiply,kendall,0.02473848103816265,0.023222483285060175
20,4,utility_1,add,spearman,0.07346365914786968,0.07040414911686768
20,4,utility_2,multiply,kendall,-0.00037086180975005997,-0.0002697728146892642
20,4,utility_1,multiply,kendall,0.06929576243021485,0.06773134600427978
20,4,utility_3,add,spearman,-0.002165413533834582,-0.004161298897541902
20,3,utility_1,add,kendall,0.11775011161942184,0.11278018961588503
20,3,utility_2,multiply,kendall,-0.010017245869749997,-0.010036825766699127
20,3,utility_2,add,kendall,0.009691748495072056,0.008984841621998951
20,2,utility_3,add,kendall,0.038433181175892665,0.03732991671780901
20,3,utility_3,multiply,kendall,0.03250563766021076,0.03039448374413608
20,3,utility_3,add,kendall,0.024074949770483828,0.023040223267898535
20,2,utility_2,add,kendall,0.00011875194189909788,0.0001940299302881677
20,2,utility_1,add,kendall,0.26295455238489057,0.2508230821978897
20,3,utility_1,multiply,kendall,0.1117461739768257,0.10687186770036829
20,2,utility_2,multiply,spearman,0.0019448621553884735,0.001852339695521887
20,4,utility_1,add,kendall,0.06934326578503643,0.0673448826276083
20,2,utility_1,multiply,spearman,0.3298646616541353,0.3092971407638365
20,4,utility_2,multiply,spearman,0.013353383458646607,0.012548751953162917
20,4,utility_3,add,kendall,0.004149631776951291,0.003125073654007579
20,2,utility_3,multiply,spearman,0.06909273182957393,0.06329533756328104
20,4,utility_2,add,kendall,0.016848286381268767,0.016364444113303938
