ID_REF,GSM473654,GSM473655,GSM473656,GSM473657,GSM473658,GSM473659,GSM473660,GSM473661,GSM473662,GSM473663,GSM473664,GSM473665
247869_at,8.4,10.3,59.9,8.8,14.2,15.5,5.5,67.4,13.4,17.6,44.4,12.5
247870_at,1017.4,885.6,1194.7,1054.4,1051,1136.6,1170.2,1115.8,908.7,1244.5,1401.1,1173.7
247871_at,6.2,5.3,9.1,20.2,3.3,11,9,5.6,26.2,8.7,4.6,22.1
247872_at,12.3,110.2,132.3,17,54.1,99.2,17.1,64.1,90,9.4,118.4,114.2
247873_at,4.5,78.7,14.7,7.5,12.7,48.1,4.1,11.6,101.7,34.5,10.3,18.7
247874_at,1158.7,1279.5,718.3,900.6,1073.8,1018.6,1457.4,1295.3,701,1367.1,950.4,547.4
247875_at,44.6,98.1,49.9,55.6,26.4,9.4,15.4,83.9,116.8,77.9,101,26.7
247876_at,5.1,4.3,2.6,1.4,1.3,3.7,60.1,21.1,5.9,12.6,7.5,4.5
247877_at,67.3,150.6,206,112.3,118.1,198.8,122.3,94.6,239.5,132.4,186.1,204.4
247878_at,153.4,99.1,114,18.5,2.7,110.1,84.9,149.8,167.3,50.9,89.1,21.6
247879_at,14.8,87.9,36.7,11.7,7.6,18.2,20.4,55.7,242.3,34.2,34.9,18.2
247880_at,367.2,481.2,352.2,206.1,170.4,305,468.4,681,269.8,200,201.7,206.8
247881_at,384,448.2,299.9,298.1,304.7,262.7,479,481.5,348,354.2,277.3,304.7
247882_at,431,419.4,615.2,908.4,820.9,1731.1,401.5,418.4,369.7,1054.1,972,1210.5
247883_at,35.3,53.2,75,71.1,29.5,60.1,31.2,6.4,81.9,22.4,86.3,54.4
247884_at,1318.7,1311.2,915.1,1259.6,1246.5,1845.7,921.9,971.2,1301.3,798.8,609.6,949.7
247885_at,73.6,164.3,136.2,81.4,76.5,74.7,83.7,55.1,19.1,63,96.4,91.6
247886_at,564.4,493.8,423.6,530.2,415.2,531.1,535.4,569,369.4,317.7,359.8,483.9
247887_at,109.5,130.2,58.7,81.9,98.5,88.1,48.7,61.8,141.5,26.1,102.1,86.5
247888_at,15.5,93,45.9,7.2,95.8,70.6,6,43.3,14.6,35.7,144.5,64.9
247889_at,2718.7,2194.8,2230.3,1750.9,1774.9,1469.4,2225,2277.6,2599.8,1723.7,1439,1703.1
247890_at,844.1,820.5,528.9,608.4,676.3,435.4,546,620.6,691.7,530.1,533.9,465.3
247891_at,551.4,636.3,468.7,512,557.4,525.4,446.3,451.4,648.9,494.2,559.8,476.6
247892_at,118.4,92.1,98.7,105.8,106.9,100.6,126.3,143.3,100.5,96.7,61.8,104.6
247893_at,7.1,15.2,106.6,41.6,61,80,102.8,91.5,10.8,40.8,70.4,24.2
247894_at,281.2,229.9,234.1,174.7,211.1,198.7,185.2,257.9,100.4,243,165.7,198.1
247895_at,34.6,31.1,23.4,13.5,88.3,12.4,22.4,98.5,37,11.4,36,81.1
247896_at,363,251.4,407.1,335.6,269.8,256.6,294.3,287.8,345.2,414.5,318.4,395.8
247897_at,50.7,64.7,88.7,39.8,17.1,13.8,5.7,15.1,15.1,19.7,6.5,23.8
247898_at,415.9,384.5,597,388.4,511.3,478.4,416.5,401.5,583.9,369.6,365,356.9
247899_at,5359.4,4447.2,4521.8,4134.7,3817.5,3687.3,4176.1,4929.3,4820.4,2846.7,2880.3,2761.7
